time_us,rtt_us,cwnd_bytes,bytes_in_flight,pacing_Bps,ect1_packets,ce_packets,alpha_numerator,alpha_denominator
10368,5589,15360,15615,3435319,0,0,0,1
20584,6278,18391,19830,3661795,3,0,0,1
30682,7552,19627,20073,3248642,4,0,0,1
40813,11701,9933,17679,2607199,4,2,0,1
50945,17439,10123,15285,2607199,4,4,0,1
61076,24418,10270,12891,2607199,4,6,0,1
71328,28279,10332,11694,2607199,4,7,0,1
81494,32460,10389,10552,2607199,4,8,0,1
91718,52715,10679,10685,2607199,4,15,0,1
101879,49830,5344,8915,2607199,4,18,0,1
112010,49830,5344,8915,2607199,4,18,0,1
122196,37996,3187,2935,2607199,5,27,921,1024
132362,37996,3187,4430,2607199,5,27,921,1024
142520,31247,3461,4430,2607199,5,30,921,1024
152727,28091,3164,4375,2607199,5,31,1,1
162876,24882,3333,4320,2607199,5,33,1,1
173011,24882,3333,4430,2607199,5,33,1,1
183153,23864,3233,4485,2607199,5,36,1,1
193436,23864,3233,4595,2607199,5,36,1,1
203707,19870,3216,4430,2607199,5,42,1,1
213898,17994,3139,4375,2607199,5,44,1,1
224104,17251,3204,4485,2607199,5,45,1,1
234391,16792,3136,4430,2607199,5,48,1,1
244617,16882,3196,4485,2607199,5,49,1,1
254847,17085,3255,4430,2607199,5,52,1,1
265144,16838,3182,4485,2607199,5,55,1,1
275322,16838,3182,4430,2607199,5,55,1,1
285561,17001,3234,4540,2607199,5,56,1,1
295752,18152,3177,4540,2607199,5,60,1,1
305967,18152,3177,4595,2607199,5,60,1,1
316231,18315,3160,4430,2607199,9,61,31,32
326510,19064,3367,4375,2607199,13,61,31,32
336765,19064,3367,4485,2607199,13,61,31,32
347002,19333,3203,4595,2607199,15,61,465,512
357158,19796,3423,4430,2607199,21,61,871,1024
367433,19796,3423,4485,2607199,21,61,871,1024
377601,19551,3601,4485,2607199,24,61,871,1024
387867,19796,3660,4540,2607199,28,61,51,64
398092,19796,3660,4595,2607199,28,61,51,64
408365,18704,3755,4540,2607199,34,61,765,1024
418638,17128,3820,4485,2607199,39,61,717,1024
428872,17128,3820,4595,2607199,39,61,717,1024
439156,17446,3603,4595,2607199,44,61,21,32
